timestamp,close,timestamp_column,rounded_timestamp
1707383700000,45973.85,2024-02-08 09:15:00,2024-02-08 09:15:00
1707384600000,46056.15,2024-02-08 09:30:00,2024-02-08 09:30:00
1707385500000,46013.9,2024-02-08 09:45:00,2024-02-08 09:45:00
1707386400000,46025.95,2024-02-08 10:00:00,2024-02-08 10:00:00
1707387300000,46023.05,2024-02-08 10:15:00,2024-02-08 10:15:00
1707388200000,45986.9,2024-02-08 10:30:00,2024-02-08 10:30:00
1707389100000,45854.05,2024-02-08 10:45:00,2024-02-08 10:45:00
1707390000000,45633.45,2024-02-08 11:00:00,2024-02-08 11:00:00
1707390900000,45398.25,2024-02-08 11:15:00,2024-02-08 11:15:00
1707391800000,45428.8,2024-02-08 11:30:00,2024-02-08 11:30:00
1707392700000,45361.25,2024-02-08 11:45:00,2024-02-08 11:45:00
1707393600000,45449.85,2024-02-08 12:00:00,2024-02-08 12:00:00
1707394500000,45479.4,2024-02-08 12:15:00,2024-02-08 12:15:00
1707395400000,45393.6,2024-02-08 12:30:00,2024-02-08 12:30:00
1707396300000,45440.9,2024-02-08 12:45:00,2024-02-08 12:45:00
1707397200000,45486.65,2024-02-08 13:00:00,2024-02-08 13:00:00
1707398100000,45460.7,2024-02-08 13:15:00,2024-02-08 13:15:00
1707399000000,45516.05,2024-02-08 13:30:00,2024-02-08 13:30:00
1707399900000,45486.3,2024-02-08 13:45:00,2024-02-08 13:45:00
1707400800000,45472.3,2024-02-08 14:00:00,2024-02-08 14:00:00
1707401700000,45376.75,2024-02-08 14:15:00,2024-02-08 14:15:00
1707402600000,45298.45,2024-02-08 14:30:00,2024-02-08 14:30:00
1707403500000,45154.1,2024-02-08 14:45:00,2024-02-08 14:45:00
1707404400000,45084.55,2024-02-08 15:00:00,2024-02-08 15:00:00
1707405300000,44986.2,2024-02-08 15:15:00,2024-02-08 15:15:00
1707406200000,45105.2,2024-02-08 15:30:00,2024-02-08 15:30:00
