Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
86168,NIFTY29JUN28P29000,NIFTY,29JUN28,P,29000
86167,NIFTY29JUN28C29000,NIFTY,29JUN28,C,29000
86166,NIFTY29JUN28P28000,NIFTY,29JUN28,P,28000
86165,NIFTY29JUN28C28000,NIFTY,29JUN28,C,28000
86164,NIFTY29JUN28P27000,NIFTY,29JUN28,P,27000
86163,NIFTY29JUN28C27000,NIFTY,29JUN28,C,27000
86162,NIFTY29JUN28P26000,NIFTY,29JUN28,P,26000
86161,NIFTY29JUN28C26000,NIFTY,29JUN28,C,26000
86160,NIFTY29JUN28P25000,NIFTY,29JUN28,P,25000
86153,NIFTY29JUN28C25000,NIFTY,29JUN28,C,25000
86152,NIFTY29JUN28P24000,NIFTY,29JUN28,P,24000
86151,NIFTY29JUN28C24000,NIFTY,29JUN28,C,24000
86150,NIFTY29JUN28P23000,NIFTY,29JUN28,P,23000
86149,NIFTY29JUN28C23000,NIFTY,29JUN28,C,23000
86148,NIFTY29JUN28P22000,NIFTY,29JUN28,P,22000
86147,NIFTY29JUN28C22000,NIFTY,29JUN28,C,22000
86146,NIFTY29JUN28P21000,NIFTY,29JUN28,P,21000
86145,NIFTY29JUN28C21000,NIFTY,29JUN28,C,21000
86144,NIFTY29JUN28P20000,NIFTY,29JUN28,P,20000
86143,NIFTY29JUN28C20000,NIFTY,29JUN28,C,20000
86142,NIFTY29JUN28P19000,NIFTY,29JUN28,P,19000
86141,NIFTY29JUN28C19000,NIFTY,29JUN28,C,19000
86140,NIFTY29JUN28P18000,NIFTY,29JUN28,P,18000
86139,NIFTY29JUN28C18000,NIFTY,29JUN28,C,18000
86138,NIFTY29JUN28P17000,NIFTY,29JUN28,P,17000
86137,NIFTY29JUN28C17000,NIFTY,29JUN28,C,17000
86136,NIFTY29JUN28P16000,NIFTY,29JUN28,P,16000
86135,NIFTY29JUN28C16000,NIFTY,29JUN28,C,16000
86134,NIFTY29JUN28P15000,NIFTY,29JUN28,P,15000
86133,NIFTY29JUN28C15000,NIFTY,29JUN28,C,15000
86132,NIFTY29JUN28P14000,NIFTY,29JUN28,P,14000
86131,NIFTY29JUN28C14000,NIFTY,29JUN28,C,14000
86130,NIFTY29JUN28P13000,NIFTY,29JUN28,P,13000
86129,NIFTY29JUN28C13000,NIFTY,29JUN28,C,13000
86128,NIFTY29JUN28P12000,NIFTY,29JUN28,P,12000
86127,NIFTY29JUN28C12000,NIFTY,29JUN28,C,12000
