datetime,open,high,low,close,volume,st,st_dir,up,dn
1970-01-20 20:17:08.314,49392.0,49392.0,49343.0,49343.0,1805,49025.2,1.0,49025.2,
1970-01-20 20:17:08.382,49343.0,49343.0,49294.0,49294.0,44,49215.6,1.0,49215.6,
1970-01-20 20:17:08.386,49294.0,49294.0,49245.0,49245.0,4,49215.6,1.0,49215.6,
1970-01-20 20:17:08.910,49245.0,49245.0,49196.0,49196.0,348,49323.4,-1.0,,49323.4
1970-01-20 20:17:09.247,49196.0,49196.0,49147.0,49147.0,215,49274.4,-1.0,,49274.4
1970-01-20 20:17:09.544,49196.0,49245.0,49196.0,49245.0,193,49274.4,-1.0,,49274.4
1970-01-20 20:17:09.740,49245.0,49294.0,49245.0,49294.0,131,49166.6,1.0,49166.6,
1970-01-20 20:17:09.790,49294.0,49343.0,49294.0,49343.0,31,49215.6,1.0,49215.6,
1970-01-20 20:17:10.562,49294.0,49294.0,49245.0,49245.0,482,49215.6,1.0,49215.6,
1970-01-20 20:17:14.203,49245.0,49245.0,49196.0,49196.0,2374,49323.4,-1.0,,49323.4
1970-01-20 20:17:16.634,49245.0,49294.0,49245.0,49294.0,1629,49323.4,-1.0,,49323.4
1970-01-20 20:17:18.085,49294.0,49343.0,49294.0,49343.0,922,49215.6,1.0,49215.6,
1970-01-20 20:17:18.654,49294.0,49294.0,49245.0,49245.0,365,49215.6,1.0,49215.6,
1970-01-20 20:17:19.904,49245.0,49245.0,49196.0,49196.0,816,49323.4,-1.0,,49323.4
1970-01-20 20:17:24.134,49231.0,49231.0,49231.0,49231.0,2673,49304.5,-1.0,,49304.5
