,open,high,low,close,volume,st,st_dir,ema,up,dn
1970-01-20 19:38:28.500,444.0,444.0,444.0,444.0,1,2587.05,-1.0,,,2587.05
1970-01-20 19:38:31.200,444.0,432.0,431.2,431.2,1,458.48,-1.0,,,458.48
