open,high,low,close,volume,st,dir,up,dn,BuySignal,timestamp
45960.0,45973.85,45960.0,45973.85,2.0,45937.84,1.0,45937.84,,1,2024-02-13 23:31:26.264828
45990.0,45990.0,45986.9,45986.9,1.0,45994.96,-1.0,,45994.96,-1,2024-02-13 23:31:27.232324
45435.0,45449.85,45435.0,45449.85,1.0,45411.24,1.0,45411.24,,1,2024-02-13 23:31:28.382009
45405.0,45405.0,45393.6,45393.6,1.0,45423.24,-1.0,,45423.24,-1,2024-02-13 23:31:28.749136
45480.0,45486.65,45480.0,45486.65,1.0,45469.36,1.0,45469.36,,1,2024-02-13 23:31:29.124137
45390.0,45390.0,45376.75,45376.75,1.0,45411.2,-1.0,,45411.2,-1,2024-02-13 23:31:30.004444
45105.0,45105.2,45105.0,45105.2,1.0,45104.68,1.0,45104.68,,1,2024-02-13 23:31:31.044509
45045.0,45056.8,45045.0,45056.8,2.0,45026.12,1.0,45026.12,,1,2024-02-13 23:49:07.337188
44895.0,44895.0,44888.15,44888.15,1.0,44905.96,-1.0,,44905.96,-1,2024-02-13 23:49:07.661747
45135.0,45141.3,45135.0,45141.3,1.0,45124.92,1.0,45124.92,,1,2024-02-13 23:49:07.824613
45285.0,45285.0,45278.75,45278.75,1.0,45295.0,-1.0,,45295.0,-1,2024-02-13 23:49:09.092364
45060.0,45072.4,45060.0,45072.4,1.0,45040.16,1.0,45040.16,,1,2024-02-13 23:49:10.025269
45555.0,45555.0,45546.3,45546.3,1.0,45568.92,-1.0,,45568.92,-1,2024-02-13 23:49:11.312133
45570.0,45580.4,45570.0,45580.4,1.0,45553.36,1.0,45553.36,,1,2024-02-13 23:49:11.731503
45525.0,45525.0,45521.95,45521.95,1.0,45529.88,-1.0,,45529.88,-1,2024-02-13 23:49:11.898230
47835.0,47835.65,47835.0,47835.65,1.0,47833.96,1.0,47833.96,,1,2024-02-13 23:49:12.379121
